Stadium-Armory,Federal Center,9,25
King Street,Van Dorn Street,6,45
Fort Totten,Takoma,3,15
Fort Totten,Georgia Avenue,5,55
Metro Center,Gallery Place,2,15
L’Enfant,Pentagon,5,45
Dupont Circle,Metro Center,2,15
Gallery Place,Shaw-Howard,4,55
Anacostia,Southern Avenue,7,55
Fort Totten,West Hyattsville,3,55
Shady Grove,Rockville,9,15
Minnesota Ave,Stadium-Armory,5,25
L’Enfant,Federal Center,3,25
Georgia Avenue,Shaw-Howard,4,55
Bethesda,Friendship Heights,5,15
Cleveland Park,Dupont Circle,2,15
Grosvenor-Strathmore,Bethesda,5,15
Benning Road,Addison Road,7,105
NoMa-Gallaudet (New York Ave.),Fort Totten,5,15
L’Enfant,Federal Triangle,2,25
Friendship Heights,Cleveland Park,6,15
Gallery Place,L’Enfant,4,55
Southern Avenue,Branch Avenue,6,55
Reagan,Braddock Road,5,45
Addison Road,Largo Town Center,6,105
Waterfront,Anacostia,5,55
Cheverly,Minnesota Ave,9,25
Twinbrook,Grosvenor-Strathmore,16,15
L’Enfant,Waterfront,2,55
Rosslyn,Virginia Square,5,25
Braddock Road,King Street,2,45
Virginia Square,East Falls Church,7,25
Greenbelt,College Park,5,55
Metro Center,Federal Triangle,3,25
Judiciary Square,NoMa-Gallaudet (New York Ave.),4,15
Gallery Place,Judiciary Square,10,15
New Carrollton,Cheverly,6,25
Van Dorn Street,Franconia-Springfield,6,45
Stadium-Armory,Benning Road,7,105
Takoma,Silver Spring,6,15
East Falls Church,Dunn Loring,3,25
College Park,West Hyattsville,6,55
Metro Center,Rosslyn,8,25
Silver Spring,Wheaton,26,15
Dunn Loring,Vienna,8,25
Pentagon,Reagan,6,45
Rockville,Twinbrook,16,15
